,n,density,m,min deg,max deg,avg deg,nst1,nst2,hit rate,K,time
88,110,0.09090909090909091,572,3,21,10.4,240552704236500671316878248840730688307920060127756795519966304321002410036247494792884536168683600347136,174806870277190184197259405046189337798532819245211519931734051538495426288486827525392415382000698916864,0.9872727272727273,772,0.7183008193969727
89,120,0.08333333333333333,645,4,19,10.75,178270607344524509704085976232235295382216010547060554688834332748912135812713983417771641754959773954932637920395264,130786385486663339195738769403555548014772534193893957897469477182875223975567021607384086961794146510700545543503872,0.9916666666666668,1971,1.8694968223571777
90,130,0.07692307692307693,644,3,20,9.907692307692308,4170745521696637905077749591844228471727813422944501324972646421180335681751368954940188326629454978848404216216945688576,3461564100491672610354210231591166633690641899227884384297933271919857740347397529247188760934862421817901681101015875584,0.9938461538461538,247,0.34955334663391113
91,140,0.07142857142857142,713,4,19,10.185714285714285,4160112297111990823249068031434561929037101927895747649321506727603524164773344292074269502595096338570066512228821199154960264069120,3439130133177686232658991669609305751356729413887375305474378517385904600538781031392999117369934306706052024193065289865036157681664,0.9885714285714287,38612,45.4667444229126
92,30,0.3333333333333333,141,4,14,9.4,100760500208903864599969792,82102899436752333382352896,0.9666666666666666,432,0.15077614784240723
93,40,0.25,202,5,15,10.1,6781042137771180092157863184119627776,5760330904324818309439930116048158720,0.99,15644,5.243754863739014
94,50,0.2,236,4,17,9.44,432519721135176673580670384646001871705604096,341646575683880795810727547048276635986952192,0.992,1504,0.5999484062194824
95,60,0.16666666666666666,318,5,17,10.6,623263284779211194294973400205554596647334598840726585344,531147457196569153614308731711372901684354923801583026176,0.9733333333333334,954,0.4611515998840332
96,70,0.14285714285714285,348,4,16,9.942857142857143,79418901971444971681390804271082183262093384166266537504988463104,64062214197775542415345133333027274429107359001282407738703347712,1.0,4996,2.689068078994751
97,80,0.125,339,2,17,8.475,37289646265528560113395672498762459085963484400189890707202252996608,28479232604563242212381522576652249545316072969882399984607905710080,0.9824999999999999,100000,60.31585168838501
98,90,0.1111111111111111,464,2,20,10.311111111111112,5438699123744346512468088895163532317913452486299104749727937086795896708666566377472,4558501120332844925052528577059058198875133295211108460653605702254829725985103937536,0.9800000000000001,4554,3.711838483810425
99,100,0.1,513,4,18,10.26,14705566824356506118491301930964105754816660251315238924872576568323894134775866357020683665408,12211619118039271549052804292934865458580042458467045235002018222602477162333865722068055621632,0.984,914,0.9112198352813721
100,110,0.09090909090909091,552,1,20,10.036363636363637,1230977976813890574864420160157189256755227299553185091339166265402460625124675034197959379877915262976,947423112745018030632101919067919572445985670388011212907838951532832635816357935804929392184037212160,0.9854545454545456,35124,28.893171310424805
101,120,0.08333333333333333,619,5,19,10.316666666666666,1848995343579215223183604158643029213678484296285068355652240419025530283015864370245333676095208874443522611085312,1368105835045915775323810570193338318212511727775647963674212270669499210576761466915004504245149743220666553860096,0.9966666666666667,100000,83.613849401474
